Select a film
Adox CHM 125
Adox CHM 125
Adox CHM 400
Adox CHS 100
Adox CHS 100 II
Adox CHS 25
Adox CHS 50
Adox CMS 20
Adox CMS 20 II
Adox ORT 25
Adox Pan 25
Adox Silvermax (ISO 50)
Adox Silvermax (ISO 80)
Adox Silvermax (ISO 100)
Agfa Scala (ISO 100)
Agfa Scala (ISO 200)
Agfa Scala (ISO 400)
APX 100
APX 400
Argenti LSRF (ISO 50)
Argenti Protopan 400
Arista EDU Ultra 100
Arista EDU Ultra 200
Arista EDU Ultra 400
Arista II 100
Arista II 400
Arista Premium 100
Arista Premium 400
Aviphot APX 200 S
Bluefire Police (ISO 20)
Bluefire Police (ISO 80)
BPF/BRF 200
BPF/BRF 400
BW400CN
Delta 100 Pro
Delta 3200 Pro
Delta 400 Pro
Efke 100
Efke 25
Efke 50
Efke IR820 (ISO 1)
Efke IR820 (ISO 4)
Efke IR820 (ISO 6)
Efke IR820 (ISO 12)
Efke IR820 (ISO 25)
Efke IR820 (ISO 50)
Efke IR820 (ISO 100)
Efke IR820 (ISO 200)
ERA 100
Fomapan 100
Fomapan 200
Fomapan 400
Fortepan 100
Fortepan 200
Fortepan 400
Fortepan 50
FP4+
HP5+
Ilford Pan 100
Ilford Pan 400
Kentmere 100
Kentmere 400
Lady Grey
Legacy Pro 100
Legacy Pro 400
Maco CUBE400c
Maco IR 820c/750c (ISO 100)
Maco ORT25c
Maco TP64c
Maco UP100p/PO100c
Maco UP25P
Maco UP400p
Maco UP64c
Neopan 100 Acros
Neopan 100ss
Neopan 1600
Neopan 400
Orca 110
Orwo N74+
Orwo UN54+
Pan F+
Polypan F
Polypan F (ISO 100)
Polypan F (ISO 200)
Polypan F (ISO 400)
Pro Max 100
Pro Max 400
Rollei ATO 2.1
Rollei Blackbird
Rollei Infrared (ISO 12)
Rollei Infrared (ISO 25)
Rollei Infrared (ISO 64)
Rollei Infrared (ISO 200)
Rollei Infrared (ISO 400)
Rollei Ortho 25
Rollei Pan 25
Rollei R3
Rollei Retro 100
Rollei Retro 400
Rollei Retro 400S
Rollei Retro 80S
Rollei RPX 100
Rollei RPX 400
Rollei Superpan 200
SFX 200
SHD 100
SHD 400
Surveillance 400 P4
Svema 100
Svema 200 Reporter
Svema 400
Svema A2-SH
TMax 100
TMax 400
TMax P3200
Tri-X 400
Ultrafine 125
Ultrafine 400
Ultrafine Plus 100
Ultrafine Plus 400
Ultrafine T-Grain 400
Ultrafine Xtreme 100
Ultrafine Xtreme 400
XP2
